protoform;DoT;Type;id
Most loudness_low calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are tone_low compared to the state of euthymia.;0.5546201549866119;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are quality_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are tone_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are quality_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_medium calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_medium calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are tone_low compared to the state of euthymia.;0.9226638969619612;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are quality_low compared to the state of euthymia.;0.10844279930072681;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are quality_low compared to the state of euthymia.;0.13493432041956388;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_high calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_high calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of tone_low calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_low calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_low calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority tone_low calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_low calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_low calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are quality_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of tone_low calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_low calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_low calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_low calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_medium calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_medium calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_medium calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_medium calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_medium calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_medium calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_medium calls in mania are quality_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_medium calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_medium calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_medium calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_high calls in mania are spectrum_low compared to the state of euthymia.;0.29864640205665016;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_high calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_high calls in mania are spectrum_high compared to the state of euthymia.;0.38596408253337167;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_high calls in mania are loudness_low compared to the state of euthymia.;0.5632234458703733;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_high calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority tone_high calls in mania are loudness_high compared to the state of euthymia.;0.709677999554821;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_high calls in mania are quality_low compared to the state of euthymia.;0.4623386989863896;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_high calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most tone_high calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of tone_high calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are tone_low compared to the state of euthymia.;0.661855066328011;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are quality_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_low calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_low calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are tone_low compared to the state of euthymia.;0.5128845575537417;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are loudness_high compared to the state of euthymia.;0.7963958377270728;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are quality_low compared to the state of euthymia.;0.556018544762231;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_medium calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_medium calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are tone_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are quality_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are quality_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are quality_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are quality_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most spectrum_high calls in mania are quality_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of spectrum_high calls in mania are quality_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are tone_low compared to the state of euthymia.;0.3179673670277528;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are tone_low compared to the state of euthymia.;0.009219579783348308;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_low calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_low calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are tone_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are tone_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_medium calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_medium calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are tone_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are tone_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are tone_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are tone_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are tone_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are tone_high compared to the state of euthymia.;0.6565324049264487;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are loudness_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are loudness_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are loudness_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are loudness_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are loudness_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are loudness_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most quality_high calls in mania are spectrum_high compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of quality_high calls in mania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most calls in hipomania are spectrum_low compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are loudness_low compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are tone_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are quality_low compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are spectrum_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are loudness_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are tone_low compared to the state of euthymia.;0.9032356835213087;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are quality_low compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are spectrum_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are loudness_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are tone_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are quality_medium compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are spectrum_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are loudness_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are tone_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are quality_medium compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are spectrum_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are loudness_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are tone_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Most calls in hipomania are quality_high compared to the state of euthymia.;0.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are spectrum_high compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are loudness_high compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are tone_high compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Minority of calls in hipomania are quality_high compared to the state of euthymia.;1.0;1.0;only spectralflux - Quartiles
Most loudness_low calls in hipomania are spectrum_low compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in hipomania are spectrum_low compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in hipomania are spectrum_medium compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
Minority of loudness_low calls in hipomania are spectrum_medium compared to the state of euthymia.;1.0;2.0;only spectralflux - Quartiles
Most loudness_low calls in hipomania are spectrum_high compared to the state of euthymia.;0.0;2.0;only spectralflux - Quartiles
